gloss,text
SIT  CLOSE  12 MIDNIGHT,the sitting was closed at 12 midnight
APPROVAL MOTOR VEHICLE  REGARD  FORWARD FIELD VISION DRIVER VOTE,approval of motor vehicles with regard to the forward field of vision of the driver vote
EC KOREA AGREEMENT ON SCIENTIFIC  TECHNOLOGICAL COOPERATION VOTE,ec korea agreement on scientific and technological cooperation vote
MAINSTREAM SUSTAINABILITY IN DEVELOPMENT COOPERATION POLICY VOTE,mainstreaming sustainability in development cooperation policies vote
EC GABON FISHERY PARTNERSHIP VOTE,ec gabon fisheries partnership vote
CONCLUDE VOTE .,that concludes the vote .
ASSIGNMENT CONFER ON MEMBER SEE MINUTE,assignment conferred on a member see minutes
ACTION TAKE ON PARLIAMENT POSS POSITION  RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes
SIT  CLOSE  10.05 P.M.,the sitting was closed at 10.05 p.m.
SIT  OPEN  10.05 .M.,the sitting was opened at 10.05 a.m.
CLASSIFICATION WOOD VOTE,classification of wood vote
INFRASTRUCTURE  SPATIAL INFORMATION IN EUROPEAN COMMUNITY INSPIRE VOTE,infrastructure for spatial information in the european community inspire vote
SIT  SUSPEND  1.10 P.M.  RESUME  3 P.M.,the sitting was suspended at 1.10 p.m. and resumed at 3 p.m.
MINUTE PREVIOUS SIT  APPROVE .,the minutes of the previous sitting were approved .
SIT  SUSPEND  7.05 P.M.  RESUME  9.00 P.M.,the sitting was suspended at 7.05 p.m. and resumed at 9.00 p.m.
CLIMATE CHANGE MOTION  RESOLUTION TABLE SEE MINUTE,climate change motions for resolutions tabled see minutes
"PNR , SWIFT MOTION  RESOLUTION TABLE SEE MINUTE","pnr , swift motions for resolutions tabled see minutes"
SIT  CLOSE  MIDNIGHT,the sitting was closed at midnight
CONSERVATION STOCK HIGHLY MIGRATORY SPECIES VOTE,conservation of stocks of highly migratory species vote
COURT AUDITORSSPECIAL REPORT NO 6 2005 ON TRAN EUROPEAN NETWORK  TRANSPORT VOTE,the court of auditorsspecial report no 6 / 2005 on the trans european network for transport vote
NEXT ITEM  VOTE TIME .,the next item is voting time .
SIT  SUSPEND  2 P.M.  RESUME  3 P.M.,the sitting was suspended at 2 p.m. and resumed at 3 p.m.
AGENDA  NEXT PART SESSION SEE MINUTE,agenda for next part session see minutes
SIT  OPEN  10 .M.,the sitting was opened at 10 a.m.
BUDGET AID  DEVELOP COUNTRY VOTE,budget aid for developing countries vote
ILLEGAL FISHING VOTE,illegal fishing vote
"COUNTRY STRATEGY PAPERS MALAYSIUM , BRAZIL  PAKISTAN VOTE","country strategy papers malaysia , brazil and pakistan vote"
COMMON ORGANIZATION MARKET IN WINE VOTE,common organisation of the market in wine vote
SIT  CLOSE  4.25 P.M.,the sitting was closed at 4.25 p.m.
MEMBERSHIP POLITICAL GROUP SEE MINUTE,membership of political groups see minutes
NUMBER  NUMERICAL STRENGTH INTERPARLIAMENTARY DELEGATION DEADLINE  TABLE AMENDMENT SEE MINUTE,number and numerical strength of interparliamentary delegations deadline for tabling amendments see minutes
SIT  CLOSE  11.10 P.M.,the sitting was closed at 11.10 p.m.
CLOSING SESSION,closing of the session
"FINANCING INTERVENTION  EAGGF , GUARANTEE SECTION VOTE","financing of interventions by the eaggf , guarantee section vote"
REPEAL REGULATION EC NO 2040 2000 ON BUDGETARY DISCIPLINE VOTE,repeal of regulation ec no 2040 / 2000 on budgetary discipline vote
PRUDENTIAL ASSESSMENT ACQUISITION  INCREASE SHAREHOLDING VOTE,prudential assessment of acquisitions and increase of shareholdings vote
CROSS BORDER COLLECTIVE COPYRIGHT MANAGEMENT VOTE,cross border collective copyright management vote
SIT  SUSPEND  11.20 P.M.,the sitting was suspended at 11.20 p.m.
SIT  OPEN  9 .M.,the sitting was opened at 9 a.m.
NUMBER  NUMERICAL STRENGTH INTERPARLIAMENTARY DELEGATION VOTE,2 . number and numerical strength of the interparliamentary delegations vote
MARKETING MEAT BOVINE ANIMAL AGE 12 MONTH  LESS VOTE,marketing of the meat of bovine animals aged 12 months or less vote
SIT  SUSPEND  1.10 P.M.  RESUME  3.00 P.M.,the sitting was suspended at 1.10 p.m. and resumed at 3.00 p.m.
APPOINTMENT  INTERPARLIAMENTARY DELEGATION PROPOSAL  CONFERENCE PRESIDENT SEE MINUTE,appointments to interparliamentary delegations proposal by the conference of presidents see minutes
HEPATITIS C WRITE STATEMENT SEE MINUTE,hepatitis c written statement see minutes
SIT  CLOSE  11.40 P.M.,the sitting was closed at 11.40 p.m.
COMMUNITY ACTION ON PROVISION CROSS BORDER HEALTH CARE VOTE,community action on the provision of cross border health care vote
REGIONAL POLICY ISLAND  NATURAL  ECONOMIC CONSTRAINT VOTE,regional policy islands and natural and economic constraints vote
LOCAL AUTHORITY  DEVELOPMENT COOPERATION VOTE,local authorities and development cooperation vote
SIT  SUSPEND  12.55 P.M.  RESUME  3 P.M.,the sitting was suspended at 12.55 p.m. and resumed at 3 p.m.
"DEBATE ON CASE BREACH HUMAN RIGHTS , DEMOCRACY  RULE LAW DEBATE","debates on cases of breaches of human rights , democracy and the rule of law debate"
SIT  CLOSE  12.05 .M.,the sitting was closed at 12.05 a.m.
SIT  OPEN  9.10 .M.,the sitting was opened at 9.10 a.m.
COMMUNITY PARTICIPATION IN CAPITAL INCREASE EUROPEAN INVESTMENT FUND VOTE,community participation in the capital increase of the european investment fund vote
COMPLIANCE  OBLIGATION FLAG STATE VOTE,compliance with the obligations of flag states vote
CIVIL LIABILITY  FINANCIAL GUARANTEE SHIPOWNER VOTE,civil liability and financial guarantees of shipowners vote
SECURITY  FOOTBALL MATCH VOTE,security at football matches vote
INTEGRATION NEW MEMBER STATE IN CAP VOTE,the integration of new member states in the cap vote
MEMBERSHIP INTERPARLIAMENTARY DELEGATION SEE MINUTE,membership of interparliamentary delegations see minutes
SIT  CLOSE  00.05 .M.,the sitting was closed at 00.05 a.m.
EC MALAYSIUM AGREEMENT ON CERTAIN ASPECT AIR SERVICE VOTE,ec malaysia agreement on certain aspects of air services vote
TARIFF QUOTA  IMPORT INTO BULGARIUM  ROMANIUM RAW CANE SUGAR VOTE,tariff quotas for imports into bulgaria and romania of raw cane sugar vote
WAIVER IMMUNITY VURAL À?GER VOTE,4 . waiver of the immunity of vural öger vote
"DISCHARGE 2005 SECTION V , COURT AUDITOR VOTE","discharge 2005 section v , court of auditors vote"
"DISCHARGE 2005 6TH , 7TH , 8TH  9TH EDF VOTE","discharge 2005 6th , 7th , 8th and 9th edfs vote"
DISCHARGE 2005 EUROPEAN CENTER  DEVELOPMENT VOCATIONAL TRAINING VOTE,discharge 2005 european centre for the development of vocational training vote
REPORT HERCZOG,report herczog
DISCHARGE 2005 EUROPEAN FOUNDATION  IMPROVEMENT LIVE  WORK CONDITION VOTE,discharge 2005 european foundation for the improvement of living and working conditions vote
DISCHARGE 2005 EUROPEAN MONITORING CENTER ON RACISM  XENOPHOBIA VOTE,discharge 2005 european monitoring centre on racism and xenophobia vote
DISCHARGE 2005 EUROPEAN MONITORING CENTER  DRUG  DRUG ADDICTION VOTE,discharge 2005 european monitoring centre for drugs and drug addiction vote
DISCHARGE 2005 EUROPEAN AGENCY  SAFETY  HEALTH  WORK VOTE,discharge 2005 european agency for safety and health at work vote
DISCHARGE 2005 TRANSLATION CENTER  BODY EUROPEAN UNION VOTE,discharge 2005 translation centre for the bodies of the european union vote
DISCHARGE 2005 EUROPEAN AGENCY  EVALUATION MEDICINAL PRODUCT VOTE,discharge 2005 european agency for the evaluation of medicinal products vote
DISCHARGE 2005 EUROPEAN TRAINING FOUNDATION VOTE,discharge 2005 european training foundation vote
DISCHARGE 2005 EUROPEAN MARITIME SAFETY AGENCY VOTE,discharge 2005 european maritime safety agency vote
DISCHARGE 2005 EUROPEAN FOOD SAFETY AUTHORITY VOTE,discharge 2005 european food safety authority vote
DISCHARGE 2005 EUROPEAN CENTER  DISEASE PREVENTION  CONTROL VOTE,discharge 2005 european centre for disease prevention and control vote
"DISCHARGE 2005 SECTION VII , COMMITTEE REGION VOTE","discharge 2005 section vii , committee of the regions vote"
COMBATE HIV AID WITHIN EU  IN NEIGHBOURING COUNTRY 2006 2009 VOTE,combating hiv / aids within the eu and in the neighbouring countries 2006 2009 vote
SIT  SUSPEND  1.20 P.M.  RESUME  3.05 P.M.,the sitting was suspended at 1.20 p.m. and resumed at 3.05 p.m.
MOVE INADMISSIBILITY MATTER HOMOPHOBIA IN EUROPE SEE MINUTE,moving the inadmissibility of a matter homophobia in europe see minutes
SIT  SUSPEND  7.35 P.M.  RESUME  9.00 P.M.,the sitting was suspended at 7.35 p.m. and resumed at 9.00 p.m.
SIT  CLOSE  11.45 P.M.,the sitting was closed at 11.45 p.m.
SOME MEMBER CONTINUE  PROTEST   REQUEST FLOOR,some members continued to protest and to request the floor
MULTILATERAL AGREEMENT ON ESTABLISHMENT EUROPEAN COMMON AVIATION AREA VOTE,multilateral agreement on the establishment of a european common aviation area vote
"AFTER VOTE , COMMOTION GROW LOUDER","after the vote , the commotion grew louder"
FRAMEWORK AGREEMENT ON MULTILATERAL NUCLEAR ENVIRONMENTAL PROGRAM IN RUSSIAN FEDERATION VOTE,framework agreement on a multilateral nuclear environmental programme in the russian federation vote
SEEBER RECOMMENDATION,seeber recommendation
SHIP INSPECTION  SURVEY ORGANIZATION VOTE,ship inspection and survey organisations vote
TEMPORARY COMMITTEE ON CLIMATE CHANGE VOTE,temporary committee on climate change vote
DAMAGES ACTION  BREACH COMPETITION RULE VOTE,damages actions for breach of competition rules vote
MOTION  RESOLUTION,motion for a resolution
MATIC STRATEGY ON SUSTAINABLE USE NATURAL RESOURCE VOTE,thematic strategy on the sustainable use of natural resources vote
CORRECTION  VOTE FROM PREVIOUS SIT SEE MINUTE,corrections to votes from previous sittings see minutes
SIT  CLOSE  11.25 P.M.,the sitting was closed at 11.25 p.m.
SIT  SUSPEND  11.20 .M.  RESUME  12.00 NOON,the sitting was suspended at 11.20 a.m. and resumed at 12.00 noon
DIRECTIVE CONCERN PROTECTION HEALTH  SAFETY WORKER SIMPLIFY  RATIONALISE PRACTICAL IMPLEMENTATION REPORT VOTE,directives concerning the protection of health and safety of workers simplifying and rationalising practical implementation reports vote
COMPENSATION  CERTAIN FISHERY PRODUCT VOTE,compensation for certain fishery products vote
COMMON FISHERY POLICY REGIONAL ADVISORY COUNCIL VOTE,common fisheries policy regional advisory councils vote
ATTWOOLL REPORT,attwooll report
SITUATION DISABLED WOMAN IN EUROPEAN UNION VOTE,situation of disabled women in the european union vote
BASIC INFORMATION ON PURCHASE POWER PARITY VOTE,basic information on purchasing power parities vote
BOWLE REPORT,bowles report
CONSERVATION  SUSTAINABLE EXPLOITATION FISHERY RESOURCE VOTE,conservation and sustainable exploitation of fisheries resources vote
PUBLIC FINANCES IN EMU 2006 VOTE,public finances in the emu 2006 vote
CONCLUDE VOTING TIME .,that concludes voting time .
SIT  SUSPEND  12.50 P.M.  RESUME  3.00 P.M.,the sitting was suspended at 12.50 p.m. and resumed at 3.00 p.m.
"DEBATE ON CASE BREACH HUMAN RIGHTS , DEMOCRACY  RULE LAW","debates on cases of breaches of human rights , democracy and the rule of law"
RECENT REPRESSION DEMONSTRATION IN RUSSIUM VOTE,recent repression of demonstrations in russia vote
HUMAN RIGHTS SITUATION IN PHILIPPINE VOTE,human rights situation in the philippines vote
JOINT MOTION  RESOLUTION RC B6 0162 2007,joint motion for a resolution rc b6 0162 / 2007
RESULT   DETAIL ON VOTE SEE MINUTE,for the results and other details on the vote see minutes
MEMBERSHIP TEMPORARY COMMITTEE ON CLIMATE CHANGE DEADLINE  TABLE AMENDMENT SEE MINUTE,membership of the temporary committee on climate change deadline for tabling amendments see minutes
WRITE STATEMENT TABLE SEE MINUTE,written statements tabling see minutes
SIT  OPEN  9.05 .M.,the sitting was opened at 9.05 a.m.
SIMPLIFICATION COMMUNITY LEGISLATION AMENDMENT RULE PROCEDURE VOTE,simplification of community legislation amendments of the rules of procedure vote
APPROVAL MOTOR VEHICLE  Y TRAILER VOTE,approval of motor vehicles and their trailers vote
RETROFITTING MIRROR  HEAVY GOODS VEHICLE VOTE,retrofitting of mirrors to heavy goods vehicles vote
COMPOSITION TEMPORARY COMMITTEE ON CLIMATE CHANGE VOTE,composition of the temporary committee on climate change vote
EU PARTNERSHIP IN HORN AFRICA VOTE,eu partnership in the horn of africa vote
ENVIRONMENTAL PROTECTION FROM RADIATION FOLLOW CRASH MILITARY AIRCRAFT IN GREENLAND VOTE,environmental protection from radiation following the crash of a military aircraft in greenland vote
HOUSING  REGIONAL POLICY VOTE,housing and regional policy vote
ESTABLISH GREEN HYDROGEN ECONOMY  THIRD INDUSTRIAL REVOLUTION IN EUROPE WRITE STATEMENT SEE MINUTE,establishing a green hydrogen economy and a third industrial revolution in europe written statement see minutes
SIT  CLOSE  10.10 P.M.,the sitting was closed at 10.10 p.m.
EC RUSSIUM FISHERY  CONSERVATION AGREEMENT VOTE,ec russia fisheries and conservation agreement vote
ENVIRONMENTAL QUALITY STANDARD IN FIELD WATER POLICY VOTE,environmental quality standards in the field of water policy vote
HALT LOSS BIODIVERSITY  2010 VOTE,halting the loss of biodiversity by 2010 vote
SIT  SUSPEND  12.50 P.M.  RESUME  3.05 P.M.,the sitting was suspended at 12.50 p.m. and resumed at 3.05 p.m.
SIT  CLOSE  11.55 P.M.,the sitting was closed at 11.55 p.m.
SIT  OPEN  9.00 .M.,the sitting was opened at 9.00 a.m.
COMMUNITY FINANCIAL AID IN FIELD TRAN EUROPEAN TRANSPORT  ENERGY NETWORK VOTE,community financial aid in the field of the trans european transport and energy networks vote
"EC MEXICO ECONOMIC PARTNERSHIP , POLITICAL COORDINATION  COOPERATION AGREEMENT VOTE","ec mexico economic partnership , political coordination and cooperation agreement vote"
SIT  SUSPEND  13.10  RESUME  15.00,the sitting was suspended at 13.10 and resumed at 15.00
COMMON ORGANIZATION AGRICULTURAL MARKET VOTE,common organisation of agricultural markets vote
INTERNATIONAL TRADE IN ENDANGER SPECIES WILD FAUNA  FLORA CITE VOTE,international trade in endangered species of wild fauna and flora cites vote
INNOVATION STRATEGY VOTE,innovation strategy vote
SIT  SUSPEND  12.45 P.M.  RESUME  3.00 P.M.,the sitting was suspended at 12.45 p.m. and resumed at 3.00 p.m.
SIT OPEN  9.40 .M.,the sitting opened at 9.40 a.m.
CONSERVATION  ENFORCEMENT MEASURE APPLICABLE IN REGULATORY AREA NORTHWEST ATLANTIC FISHERY ORGANIZATION VOTE,conservation and enforcement measures applicable in the regulatory area of the northwest atlantic fisheries organisation vote
MOBILISATION SOLIDARITY FUND FLOOD IN HUNGARY  GREECE VOTE,mobilisation of the solidarity fund floods in hungary and greece vote
ADDITION VITAMIN  MINERAL  CERTAIN  SUBSTANCE  FOOD VOTE,addition of vitamins and minerals and of certain other substances to foods vote
NUTRITION  HEALTH CLAIM MAKE ON FOOD VOTE,nutrition and health claims made on foods vote
PRÀ14 M TREATY CROSS BORDER COOPERATION IN COMBATE TERRORISM  CROSS BORDER CRIME VOTE,prüm treaty cross border cooperation in combating terrorism and cross border crime vote
REGIONAL STRATEGY PAPERS  REGIONAL INDICATIVE PROGRAM  MERCOSUR  LATIN AMERICA VOTE,regional strategy papers and regional indicative programmes for mercosur and latin america vote
UNITE NATION HUMAN RIGHTS COUNCIL VOTE,united nations human rights council vote
MEMBERSHIP COMMITTEE SEE MINUTE,membership of committees see minutes
SIT  CLOSE  11 P.M.,the sitting was closed at 11 p.m.
PROTECTION EMPLOYEE IN EVENT INSOLVENCY Y EMPLOYER CODIFY VERSION VOTE,protection of employees in the event of the insolvency of their employer codified version vote
WALLUS REPORT,wallis report
"CONTROL , TELL TALE  INDICATOR  TWO  THREE WHEEL MOTOR VEHICLE CODIFY VERSION VOTE","controls , tell tales and indicators for two or three wheel motor vehicles codified version vote"
INJUNCTION  PROTECTION CONSUMERSINTEREST CODIFY VERSION VOTE,injunctions for the protection of consumersinterests codified version vote
STEERING EQUIPMENT WHEEL AGRICULTURAL  FORESTRY TRACTOR CODIFY VERSION VOTE,steering equipment of wheeled agricultural or forestry tractors codified version vote
MAXIMUM SPEED  LOAD PLATFORM  WHEEL AGRICULTURAL  FORESTRY TRACTOR CODIFY VERSION VOTE,maximum speed of and load platforms for wheeled agricultural or forestry tractors codified version vote
PART  CHARACTERISTIC WHEEL AGRICULTURAL  FORESTRY TRACTOR CODIFY VERSION VOTE,parts and characteristics of wheeled agricultural or forestry tractors codified version vote
FIELD VISION  WINDSCREEN WIPER  WHEEL AGRICULTURAL  FORESTRY TRACTOR CODIFY VERSION VOTE,field of vision and windscreen wipers for wheeled agricultural or forestry tractors codified version vote
APPROXIMATION MEMBER STATESLAW RELATE  TRADE MARK CODIFY VERSION VOTE,approximation of member stateslaws relating to trade marks codified version vote
PROTECTION WORKER AGAINST ASBESTOS CODIFY VERSION VOTE,protection of workers against asbestos codified version vote
MAYER REPORT,mayer report
COMMUNITY GUARANTEE  EIB CODIFY VERSION VOTE,community guarantee to the eib codified version vote
PROTECTION PIG CODIFY VERSION VOTE,protection of pigs codified version vote
PURE BREED BOVINE BREED ANIMAL CODIFY VERSION VOTE,pure bred bovine breeding animals codified version vote
COMMUNITY TRADE MARK CODIFY VERSION VOTE,community trade mark codified version vote
PRODUCTION  MARKETING EGG CODIFY VERSION VOTE,production and marketing of eggs codified version vote
SCRUTINY EUROPEAN AGRICULTURAL GUARANTEE FUND FINANCING CODIFY VERSION VOTE,scrutiny of european agricultural guarantee fund financing codified version vote
FISHERY PARTNERSHIP AGREEMENT BETWEEN EC  SÀ# O TOMÀ? PRDCIPE VOTE,fisheries partnership agreement between the ec and são tomé and príncipe vote
FISHERY PARTNERSHIP AGREEMENT BETWEEN EC  KIRIBATUS VOTE,fisheries partnership agreement between the ec and kiribati vote
REQUEST  DEFENSE IMMUNITY MARIO BORGHEZIO VOTE,request for defence of the immunity of mario borghezio vote
CAT  DOG FUR VOTE,cat and dog fur vote
MINUTE YESTERDAY POSS SIT  APPROVE,the minutes of yesterday's sitting were approved
BAN EXPORT  SAFE STORAGE METALLIC MERCURY VOTE,the banning of exports and the safe storage of metallic mercury vote
PORTABILITY SUPPLEMENTARY PENSION RIGHTS VOTE,portability of supplementary pension rights vote
ADOPTION  CYPRUS SINGLE CURRENCY ON 1 JANUARY 2008 VOTE,adoption by cyprus of the single currency on 1 january 2008 vote
ADOPTION  MALTA SINGLE CURRENCY ON 1 JANUARY 2008 VOTE,adoption by malta of the single currency on 1 january 2008 vote
MOTION  RESOLUTION GALILEO,motion for a resolution galileo
MCCARTHY REPORT,mccarthy report
IMPROVE METHOD  CONSULT PARLIAMENT IN PROCEDURE RELATE  ENLARGEMENT EURO ZONE VOTE,improving the method for consulting parliament in procedures relating to enlargement of the euro zone vote
SIT  SUSPEND  1 P.M.  RESUME  3 P.M.,the sitting was suspended at 1 p.m. and resumed at 3 p.m.
EXCHANGE INFORMATION EXTRACT FROM CRIMINAL RECORD VOTE,exchanges of information extracted from criminal records vote
REGIONAL STRATEGY  MULTIANNUAL INDICATIVE PROGRAM  ASIA VOTE,regional strategy and multiannual indicative programme for asia vote
FRAMEWORK DECISION ON COMBATE RACISM  XENOPHOBIA VOTE,framework decision on combating racism and xenophobia vote
DECISION MAKE IN COMMON EUROPEAN ASYLUM SYSTEM VOTE,decision making in the common european asylum system vote
SIT  SUSPEND  1.05 P.M.  RESUME  3 P.M.,the sitting was suspended at 1.05 p.m. and resumed at 3 p.m.
HUMAN RIGHTS IN ETHIOPIUM VOTE,human rights in ethiopia vote
SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes
CALENDAR PART SESSION  2008,calendar of part sessions for 2008
EC MOLDOVA PARTNERSHIP  COOPERATION AGREEMENT VOTE,ec moldova partnership and cooperation agreement vote
EC UKRAINE PARTNERSHIP  COOPERATION AGREEMENT VOTE,ec ukraine partnership and cooperation agreement vote
EC ARMENIA PARTNERSHIP  COOPERATION AGREEMENT VOTE,ec armenia partnership and cooperation agreement vote
EC GEORGIUM PARTNERSHIP  COOPERATION AGREEMENT VOTE,ec georgia partnership and cooperation agreement vote
ACCESSION BULGARIUM  ROMANIUM  CONVENTION ON USE INFORMATION TECHNOLOGY  CUSTOM PURPOSE VOTE,accession of bulgaria and romania to the convention on the use of information technology for customs purposes vote
NEW STATISTICAL CLASSIFICATION PRODUCT  ACTIVITY CPA VOTE,a new statistical classification of products by activity cpa vote
REPORT CORIEN WORTMANN KOOL,report corien wortmann kool
FISHING ACTIVITY IN ANTARCTIC VOTE,fishing activities in the antarctic vote
REPORT RICHARD CORBETT,report richard corbett
IMMUNITY  PRIVILEGE ALESSANDRA MUSSOLINUS VOTE,immunity and privileges of alessandra mussolini vote
MINIMIZE ADMINISTRATIVE COST IMPOSE  LEGISLATION VOTE,minimising administrative costs imposed by legislation vote
REPORT DIANA WALLUS,report diana wallis
COMMUNITY ACTION PROGRAM IN FIELD HEALTH 2007 2013 VOTE,community action programme in the field of health 2007 2013 vote
RECOMMENDATION  SECOND READING ANTONIO TRAKATELLUS,recommendation for second reading antonios trakatellis
MEASURE DEVICE CONTAIN MERCURY VOTE,measuring devices containing mercury vote
RECOMMENDATION  SECOND READING SORNOSA MARTDEZ,recommendation for second reading sornosa martínez
FOOD ADDITIVE VOTE,food additives vote
REPORT ÀŠSA WESTLUND,report åsa westlund
FLAVORING  FOOD INGREDIENT  FLAVORING PROPERTY  USE IN  ON FOOD VOTE,flavourings and food ingredients with flavouring properties for use in and on foods vote
"RESULT   DETAIL ON VOTE , SEE MINUTE .","for the results and other details on the vote , see minutes ."
CONVENE INTERGOVERNMENTAL CONFERENCE OPINION EUROPEAN PARLIAMENT DEADLINE  TABLE AMENDMENT SEE MINUTE,convening of the intergovernmental conference opinion of the european parliament deadline for tabling amendments see minutes
SIT  SUSPEND  1.15 P.M.  RESUME  3.05 P.M.,the sitting was suspended at 1.15 p.m. and resumed at 3.05 p.m.
PNR AGREEMENT  UNITE STATE MOTION  RESOLUTION TABLE SEE MINUTE,pnr agreement with the united states motions for resolutions tabled see minutes
MERGER  DIVISION PUBLIC LIMITED COMPANY VOTE,mergers and division of public limited companies vote
COMMUNITY ACTION IN FIELD WATER POLICY VOTE,community action in the field of water policy vote
SIT  SUSPEND  2.25 P.M.  RESUME  3.05 P.M.,the sitting was suspended at 2.25 p.m. and resumed at 3.05 p.m.
SIT CLOSE  23.35,the sitting closed at 23.35
SIT  OPEN  9.30 .M.,the sitting was opened at 9.30 a.m.
BECSEY REPORT,becsey report
FIRST RAILWAY PACKAGE VOTE,first railway package vote
ACTION  TACKLE CARDIOVASCULAR DISEASE VOTE,action to tackle cardiovascular disease vote
MITCHELL REPORT,mitchell report
TRIP AGREEMENT  ACCESS  MEDICINE VOTE,trips agreement and access to medicines vote
DEMOCRATIC SCRUTINY UNDER DEVELOPMENT COOPERATION INSTRUMENT VOTE,democratic scrutiny under the development cooperation instrument vote
APPROVAL  COUNCIL PARLIAMENT POSS POSITION ADOPT  FIRST READING RULE 66 SEE MINUTE,approval by the council of parliament's positions adopted at first reading rule 66 see minutes
SIT  CLOSE  4.20 P.M.,the sitting was closed at 4.20 p.m.
BETTER REGULATION IN EUROPEAN UNION VOTE,better regulation in the european union vote
BETTER LAW MAKE 2005 SUBSIDIARITY  PROPORTIONALITY VOTE,better law making 2005 subsidiarity and proportionality vote
SIMPLIFICATION REGULATORY ENVIRONMENT VOTE,simplification of the regulatory environment vote
USE OFSOFT LAW VOTE,use ofsoft law vote
SIT  SUSPEND  19.35  RESUME  21.00,the sitting was suspended at 19.35 and resumed at 21.00
SIT  CLOSE  23.40,the sitting was closed at 23.40
BALANCE FISHING CAPACITY  FISHING OPPORTUNITY VOTE,balancing fishing capacity and fishing opportunities vote
DEHYDRATED PRESERVE MILK  HUMAN CONSUMPTION VOTE,dehydrated preserved milk for human consumption vote
COMMON ORGANIZATION MILK  MILK PRODUCT MARKET VOTE,common organisation of the milk and milk products market vote
RESTRICTION IMPOSE  EU ON LIQUID  PASSENGER CAN TAKE ON BOARD AEROPLANE VOTE,restrictions imposed by the eu on liquids that passengers can take on board aeroplanes vote
FREIGHT TRANSPORT LOGISTICS IN EUROPE  SUSTAINABLE MOBILITY VOTE,freight transport logistics in europe and sustainable mobility vote
EURE ACTIVITY REPORT 2004 2005 TOWARDS SINGLE EUROPEAN LABOR MARKET VOTE,eures activity report 2004 2005 towards a single european labour market vote
REDUCE ALCOHOL RELATE HARM VOTE,reducing alcohol related harm vote
